"image_filename","0","1","2","3","4","5","6","7","8","9"
"abandoned_ship_s_000213.png",0,1,0,0,0,0,0,0,51,0
"abandoned_ship_s_000260.png",0,0,0,0,0,0,0,0,53,1
"abandoned_ship_s_000380.png",1,0,0,0,0,0,0,0,50,0
"abandoned_ship_s_000635.png",0,0,0,0,0,0,0,0,51,0
"abandoned_ship_s_000735.png",1,0,0,0,0,0,0,0,49,0
"abandoned_ship_s_001201.png",0,0,0,0,0,0,0,0,51,0
"accentor_s_000005.png",0,0,49,2,0,0,0,0,0,0
"accentor_s_000098.png",0,0,51,0,0,0,0,0,0,0
"accentor_s_000102.png",0,0,51,0,0,0,0,0,0,0
"accentor_s_000103.png",0,0,49,2,0,1,1,0,0,0
"accentor_s_000105.png",0,0,48,1,0,1,1,0,1,0
"accentor_s_000125.png",0,0,52,0,0,0,0,0,0,0
"accentor_s_000131.png",1,0,51,0,0,0,1,0,0,0
"accentor_s_000152.png",0,0,50,0,0,0,0,0,0,0
"accentor_s_000154.png",0,0,54,0,1,0,0,0,0,1
"accentor_s_000166.png",0,0,48,0,0,1,3,0,0,0
"accentor_s_000180.png",0,0,51,0,0,0,0,1,0,0
"accentor_s_000194.png",0,0,53,0,0,0,0,0,0,0
"accentor_s_000200.png",0,0,51,0,0,0,0,0,0,0
"accentor_s_000293.png",0,0,46,1,0,0,6,0,0,0
"accentor_s_000325.png",0,0,49,2,0,0,1,0,0,0
"accentor_s_000377.png",0,0,50,0,0,0,0,0,0,0
"accentor_s_000478.png",0,0,53,0,0,0,0,0,0,0
"accentor_s_000612.png",0,0,52,0,0,0,0,0,0,0
"accentor_s_000668.png",0,0,50,0,0,0,0,0,0,0
"accentor_s_000774.png",0,0,52,0,0,0,1,0,0,0
"accentor_s_000821.png",0,0,49,1,0,0,1,0,0,0
"accentor_s_000824.png",0,0,51,0,0,0,0,0,0,0
"accentor_s_000825.png",0,0,39,0,0,0,0,0,11,0
"accentor_s_000921.png",0,1,46,1,1,0,2,0,0,0
"accentor_s_000952.png",0,0,52,0,0,0,0,0,0,0
"accentor_s_000993.png",0,0,48,1,0,0,2,0,0,0
"accentor_s_001031.png",0,0,49,0,0,0,1,0,0,0
"accentor_s_001063.png",0,0,53,0,0,0,0,1,0,0
"accentor_s_001070.png",0,0,45,1,1,0,3,0,0,0
"accentor_s_001086.png",0,0,49,0,0,0,0,0,1,0
"accentor_s_001088.png",0,0,50,0,0,0,0,0,0,0
"accentor_s_001092.png",0,0,49,0,0,0,1,0,0,0
"accentor_s_001112.png",0,0,49,0,0,0,1,0,0,0
"accentor_s_001124.png",0,0,51,0,0,0,0,0,0,0
"accentor_s_001189.png",0,0,50,0,0,0,0,0,0,0
"accentor_s_001197.png",0,0,52,0,0,0,0,0,0,0
"accentor_s_001208.png",0,0,52,0,0,0,0,0,0,0
"aepyornis_s_000432.png",0,0,48,0,0,1,0,0,1,0
"aerial_ladder_truck_s_000002.png",0,1,0,0,0,0,0,0,0,51
"aerial_ladder_truck_s_000004.png",0,0,0,0,0,0,0,0,0,52
"aerial_ladder_truck_s_000128.png",0,0,0,0,0,0,0,0,0,53
"aerial_ladder_truck_s_000162.png",1,0,0,0,0,0,0,0,1,52
"aerial_ladder_truck_s_000164.png",0,2,0,0,0,0,0,0,0,57
"aerial_ladder_truck_s_000188.png",0,1,0,0,0,0,0,0,0,49
"aerial_ladder_truck_s_000191.png",0,0,0,0,0,0,0,0,1,51
"aerial_ladder_truck_s_000214.png",0,1,0,1,0,0,0,0,0,50
"aerial_ladder_truck_s_000235.png",0,0,0,0,1,0,0,0,0,51
"aerial_ladder_truck_s_000281.png",0,0,0,0,0,1,0,0,0,50
"aerial_ladder_truck_s_000316.png",0,0,0,0,0,0,0,0,0,54
"aerial_ladder_truck_s_000406.png",0,0,0,1,0,0,0,0,1,55
"aerial_ladder_truck_s_000416.png",0,0,0,0,0,0,0,0,0,51
"aerial_ladder_truck_s_000476.png",0,1,0,0,0,0,0,0,0,51
"aerial_ladder_truck_s_000528.png",0,0,0,0,0,0,0,0,0,51
"aerial_ladder_truck_s_000553.png",0,1,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_000569.png",0,1,0,0,0,0,0,0,0,52
"aerial_ladder_truck_s_000575.png",0,0,0,0,0,0,0,0,0,51
"aerial_ladder_truck_s_000576.png",0,0,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_000579.png",0,0,0,0,0,0,0,0,0,51
"aerial_ladder_truck_s_000675.png",0,0,1,0,0,0,0,0,0,49
"aerial_ladder_truck_s_000688.png",0,0,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_000709.png",0,1,0,0,0,0,0,0,0,49
"aerial_ladder_truck_s_000715.png",0,0,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_000735.png",0,2,0,0,0,0,0,0,0,49
"aerial_ladder_truck_s_000799.png",0,1,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_000831.png",0,0,0,0,0,0,0,0,0,52
"aerial_ladder_truck_s_000833.png",0,2,0,0,1,0,0,0,0,49
"aerial_ladder_truck_s_000865.png",0,1,0,0,0,0,0,1,0,49
"aerial_ladder_truck_s_001042.png",0,2,0,1,0,0,0,0,0,50
"aerial_ladder_truck_s_001183.png",0,1,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_001218.png",0,0,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_001257.png",0,1,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_001264.png",0,0,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_001282.png",0,0,0,0,0,0,0,0,0,55
"aerial_ladder_truck_s_001320.png",0,1,0,0,0,0,0,0,0,51
"aerial_ladder_truck_s_001324.png",0,0,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_001356.png",0,1,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_001376.png",0,0,1,0,0,0,0,0,0,51
"aerial_ladder_truck_s_001393.png",0,0,0,0,0,0,0,0,0,50
"aerial_ladder_truck_s_001433.png",0,0,0,0,0,0,0,0,0,52
"aerial_ladder_truck_s_001466.png",0,0,0,0,0,0,0,0,0,51
"aeroplane_s_000002.png",52,0,0,0,0,0,0,0,0,0
"aeroplane_s_000040.png",48,0,0,0,0,0,0,0,3,0
